[macro_film] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
----------------------------------------------------------------------
Epoch  85/300 | D=-0.2769 G=18.0298 | frob=4.4498 (best=4.4524) | 33.4s
Epoch  86/300 | D=-0.2900 G=16.9221 | frob=4.3330 (best=4.4498) | 33.3s
Epoch  87/300 | D=-0.3044 G=15.9902 | frob=4.0698 (best=4.3330) | 33.4s
Epoch  88/300 | D=-0.3216 G=15.2885 | frob=3.9545 (best=4.0698) | 33.2s
Epoch  89/300 | D=-0.3361 G=14.4153 | frob=3.8679 (best=3.9545) | 33.3s
Epoch  90/300 | D=-0.3642 G=13.5364 | frob=4.0009 (best=3.8679) | 33.4s
Epoch  91/300 | D=-0.3623 G=13.0623 | frob=4.0063 (best=3.8679) | 33.6s
Epoch  92/300 | D=-0.3729 G=12.3995 | frob=3.8966 (best=3.8679) | 33.6s
Epoch  93/300 | D=-0.3943 G=11.6116 | frob=3.8905 (best=3.8679) | 33.3s
Epoch  94/300 | D=-0.4009 G=10.9019 | frob=3.8303 (best=3.8679) | 33.4s
Epoch  95/300 | D=-0.4232 G=10.1341 | frob=3.9922 (best=3.8303) | 33.1s
Epoch  96/300 | D=-0.4280 G=9.6453 | frob=4.0405 (best=3.8303) | 33.2s
Epoch  97/300 | D=-0.4446 G=9.1708 | frob=3.8895 (best=3.8303) | 33.5s
Epoch  98/300 | D=-0.4585 G=8.5201 | frob=3.6824 (best=3.8303) | 33.6s
Epoch  99/300 | D=-0.4737 G=8.0853 | frob=3.6205 (best=3.6824) | 33.2s
Epoch 100/300 | D=-0.4822 G=7.6171 | frob=3.6135 (best=3.6205) | 33.3s
Epoch 101/300 | D=-0.4902 G=7.2536 | frob=3.3504 (best=3.6135) | 33.2s
Epoch 102/300 | D=-0.4978 G=6.7285 | frob=3.4513 (best=3.3504) | 33.1s
Epoch 103/300 | D=-0.5184 G=6.2727 | frob=3.4182 (best=3.3504) | 33.5s
Epoch 104/300 | D=-0.5178 G=5.8933 | frob=3.2107 (best=3.3504) | 33.4s
Epoch 105/300 | D=-0.5315 G=5.6054 | frob=3.3177 (best=3.2107) | 33.5s
Epoch 106/300 | D=-0.5449 G=5.1420 | frob=3.2301 (best=3.2107) | 33.5s
Epoch 107/300 | D=-0.5468 G=4.7364 | frob=3.1875 (best=3.2107) | 33.6s
