[sf_balanced] all (60 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch  65/300 | D=-0.0160 G=-10.9729 SF=0.0011(s=10.00) | frob=2.0062 (best=1.9682) | 18.5s
Epoch  66/300 | D=-0.0300 G=-10.5602 SF=0.0010(s=10.00) | frob=1.9110 (best=1.9682) | 18.5s
Epoch  67/300 | D=-0.0298 G=-10.1670 SF=0.0010(s=10.00) | frob=2.2954 (best=1.9110) | 18.7s
Epoch  68/300 | D=-0.0308 G=-8.9804 SF=0.0009(s=10.00) | frob=2.0103 (best=1.9110) | 18.5s
Epoch  69/300 | D=-0.0387 G=-8.5969 SF=0.0009(s=10.00) | frob=2.3624 (best=1.9110) | 18.5s
Epoch  70/300 | D=-0.0329 G=-7.5379 SF=0.0009(s=10.00) | frob=2.0079 (best=1.9110) | 18.5s
Epoch  71/300 | D=-0.0227 G=-7.1089 SF=0.0009(s=10.00) | frob=2.4801 (best=1.9110) | 18.5s
Epoch  72/300 | D=-0.0394 G=-6.5615 SF=0.0009(s=10.00) | frob=2.1727 (best=1.9110) | 18.4s
Epoch  73/300 | D=-0.0445 G=-7.2470 SF=0.0009(s=10.00) | frob=2.0931 (best=1.9110) | 18.4s
Epoch  74/300 | D=-0.0451 G=-8.0263 SF=0.0009(s=10.00) | frob=1.9451 (best=1.9110) | 18.3s
Epoch  75/300 | D=-0.0369 G=-6.9229 SF=0.0009(s=10.00) | frob=1.9743 (best=1.9110) | 17.8s
Epoch  76/300 | D=-0.0513 G=-6.5060 SF=0.0008(s=10.00) | frob=2.1546 (best=1.9110) | 18.4s
Epoch  77/300 | D=-0.0490 G=-6.3373 SF=0.0009(s=10.00) | frob=2.9450 (best=1.9110) | 18.3s
Epoch  78/300 | D=-0.0642 G=-6.6228 SF=0.0009(s=10.00) | frob=2.3308 (best=1.9110) | 18.5s
Epoch  79/300 | D=-0.0610 G=-6.3446 SF=0.0008(s=10.00) | frob=1.7740 (best=1.9110) | 18.5s
Epoch  80/300 | D=-0.0651 G=-5.8030 SF=0.0008(s=10.00) | frob=1.7164 (best=1.7740) | 18.5s
Epoch  81/300 | D=-0.0759 G=-5.3161 SF=0.0008(s=10.00) | frob=1.7493 (best=1.7164) | 18.5s
Epoch  82/300 | D=-0.0878 G=-5.4557 SF=0.0008(s=10.00) | frob=1.9231 (best=1.7164) | 18.4s
Epoch  83/300 | D=-0.0946 G=-4.8343 SF=0.0008(s=10.00) | frob=2.0197 (best=1.7164) | 18.5s
Epoch  84/300 | D=-0.0939 G=-4.2524 SF=0.0007(s=10.00) | frob=1.9392 (best=1.7164) | 18.4s
Epoch  85/300 | D=-0.1159 G=-3.8970 SF=0.0007(s=10.00) | frob=2.0238 (best=1.7164) | 18.7s
Epoch  86/300 | D=-0.1185 G=-3.7351 SF=0.0007(s=10.00) | frob=1.8830 (best=1.7164) | 18.3s
Epoch  87/300 | D=-0.1283 G=-3.4743 SF=0.0007(s=10.00) | frob=1.9352 (best=1.7164) | 18.4s
Epoch  88/300 | D=-0.1459 G=-3.2732 SF=0.0007(s=10.00) | frob=1.9836 (best=1.7164) | 18.3s
Epoch  89/300 | D=-0.1484 G=-2.9981 SF=0.0007(s=10.00) | frob=2.0940 (best=1.7164) | 18.3s
Epoch  90/300 | D=-0.1686 G=-3.0093 SF=0.0007(s=10.00) | frob=1.7230 (best=1.7164) | 18.2s
Epoch  91/300 | D=-0.1848 G=-2.8669 SF=0.0007(s=10.00) | frob=1.8816 (best=1.7164) | 18.5s
Epoch  92/300 | D=-0.1992 G=-2.5401 SF=0.0006(s=10.00) | frob=2.3065 (best=1.7164) | 18.4s
