[baseline] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [baseline] | T_L=252 | lr=0.0005
  G: 2,507,232 params
  D: 1,598,209 params
----------------------------------------------------------------------
Epoch 130/300 | D=-0.5958 G=5.6759 | frob=6.7749 (best=4.7675) | 33.9s
Epoch 131/300 | D=-0.6101 G=5.4710 | frob=6.2124 (best=4.7675) | 33.3s
Epoch 132/300 | D=-0.6327 G=5.2526 | frob=6.2920 (best=4.7675) | 33.8s
Epoch 133/300 | D=-0.6481 G=5.0868 | frob=5.5184 (best=4.7675) | 34.0s
Epoch 134/300 | D=-0.6606 G=4.9242 | frob=6.0425 (best=4.7675) | 33.6s
Epoch 135/300 | D=-0.6797 G=4.7813 | frob=5.8911 (best=4.7675) | 33.3s
Epoch 136/300 | D=-0.6928 G=4.5852 | frob=5.8928 (best=4.7675) | 33.8s
Epoch 137/300 | D=-0.7120 G=4.4158 | frob=6.0407 (best=4.7675) | 33.7s
Epoch 138/300 | D=-0.7166 G=4.2235 | frob=7.2789 (best=4.7675) | 34.2s
Epoch 139/300 | D=-0.7269 G=4.0645 | frob=6.3706 (best=4.7675) | 33.7s
Epoch 140/300 | D=-0.7495 G=3.8608 | frob=7.0644 (best=4.7675) | 33.9s
Epoch 141/300 | D=-0.7730 G=3.6224 | frob=6.7982 (best=4.7675) | 34.3s
Epoch 142/300 | D=-0.7722 G=3.5021 | frob=7.0462 (best=4.7675) | 33.5s
Epoch 143/300 | D=-0.7914 G=3.3681 | frob=6.7306 (best=4.7675) | 33.9s
Epoch 144/300 | D=-0.7993 G=3.1524 | frob=6.4214 (best=4.7675) | 33.5s
Epoch 145/300 | D=-0.8195 G=3.0386 | frob=6.4728 (best=4.7675) | 33.3s
Epoch 146/300 | D=-0.8398 G=2.9028 | frob=8.4239 (best=4.7675) | 33.7s
Epoch 147/300 | D=-0.8398 G=2.7972 | frob=7.8133 (best=4.7675) | 34.0s
Epoch 148/300 | D=-0.8549 G=2.6856 | frob=6.7651 (best=4.7675) | 33.6s
Epoch 149/300 | D=-0.8582 G=2.5863 | frob=8.0891 (best=4.7675) | 34.3s
Epoch 150/300 | D=-0.8812 G=2.4599 | frob=6.8306 (best=4.7675) | 34.5s
Epoch 151/300 | D=-0.8875 G=2.3997 | frob=6.9273 (best=4.7675) | 33.4s
Epoch 152/300 | D=-0.9013 G=2.2684 | frob=7.9902 (best=4.7675) | 34.6s
Epoch 153/300 | D=-0.9057 G=2.1364 | frob=7.9702 (best=4.7675) | 33.9s
Epoch 154/300 | D=-0.9156 G=2.0498 | frob=6.8600 (best=4.7675) | 33.8s
Epoch 155/300 | D=-0.9142 G=1.9084 | frob=6.4926 (best=4.7675) | 33.4s
Epoch 156/300 | D=-0.9271 G=1.8192 | frob=6.9807 (best=4.7675) | 33.9s
Epoch 157/300 | D=-0.9512 G=1.7321 | frob=7.3595 (best=4.7675) | 34.2s
Epoch 158/300 | D=-0.9564 G=1.6388 | frob=6.7404 (best=4.7675) | 34.3s
Epoch 159/300 | D=-0.9537 G=1.5684 | frob=10.0585 (best=4.7675) | 34.3s
Epoch 160/300 | D=-0.9746 G=1.5156 | frob=9.5969 (best=4.7675) | 33.1s
