[sf_disc_aug] device=cuda, hidden=256, lr=0.0005
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  Train windows: 2890, Val: 3142
Training [sf_disc_aug] | T_L=252 | lr=0.0005
  G: 2,514,400 params
  D: 1,684,618 params
  SF disc aug: λ=0.5
----------------------------------------------------------------------
/root/miniconda3/lib/python3.12/site-packages/torch/autograd/graph.py:829: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:179.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch  57/300 | D=-0.2266 G=9.9755 SF=0.0429 | frob=6.2789 (best=5.8064) | 33.6s
Epoch  58/300 | D=-0.2149 G=9.9011 SF=0.0427 | frob=6.0232 (best=5.8064) | 32.4s
Epoch  59/300 | D=-0.2217 G=9.3655 SF=0.0447 | frob=5.6362 (best=5.8064) | 32.8s
Epoch  60/300 | D=-0.2225 G=9.6951 SF=0.0398 | frob=6.3168 (best=5.6362) | 32.8s
Epoch  61/300 | D=-0.2152 G=9.4548 SF=0.0416 | frob=5.1680 (best=5.6362) | 32.9s
Epoch  62/300 | D=-0.2158 G=9.4175 SF=0.0459 | frob=5.8328 (best=5.1680) | 32.6s
Epoch  63/300 | D=-0.2272 G=9.5852 SF=0.0374 | frob=5.7098 (best=5.1680) | 33.0s
Epoch  64/300 | D=-0.2371 G=9.3579 SF=0.0471 | frob=5.9209 (best=5.1680) | 32.2s
Epoch  65/300 | D=-0.2393 G=8.9172 SF=0.0366 | frob=6.0743 (best=5.1680) | 34.2s
Epoch  66/300 | D=-0.2425 G=8.8623 SF=0.0363 | frob=5.8016 (best=5.1680) | 32.7s
Epoch  67/300 | D=-0.2462 G=8.7572 SF=0.0391 | frob=6.0209 (best=5.1680) | 33.3s
Epoch  68/300 | D=-0.2475 G=8.9968 SF=0.0340 | frob=5.9464 (best=5.1680) | 32.5s
Epoch  69/300 | D=-0.2487 G=8.7265 SF=0.0365 | frob=5.7770 (best=5.1680) | 34.2s
Epoch  70/300 | D=-0.2427 G=8.5084 SF=0.0337 | frob=5.5825 (best=5.1680) | 33.2s
Epoch  71/300 | D=-0.2507 G=8.2173 SF=0.0412 | frob=5.9992 (best=5.1680) | 33.6s
Epoch  72/300 | D=-0.2495 G=8.2136 SF=0.0382 | frob=5.5189 (best=5.1680) | 33.2s
Epoch  73/300 | D=-0.2515 G=8.4816 SF=0.0369 | frob=5.7602 (best=5.1680) | 32.7s
Epoch  74/300 | D=-0.2644 G=8.3371 SF=0.0325 | frob=5.5081 (best=5.1680) | 33.5s
Epoch  75/300 | D=-0.2497 G=8.3308 SF=0.0341 | frob=5.3984 (best=5.1680) | 32.6s
Epoch  76/300 | D=-0.2496 G=8.7276 SF=0.0403 | frob=5.7015 (best=5.1680) | 33.3s
Epoch  77/300 | D=-0.2553 G=8.2879 SF=0.0321 | frob=5.7717 (best=5.1680) | 33.1s
Epoch  78/300 | D=-0.2582 G=8.1072 SF=0.0322 | frob=5.4906 (best=5.1680) | 33.6s
