[sf_balanced] all (60 assets) | device=cuda | seed=7
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=60, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=60, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [sf_balanced] | T_L=252 | lr=0.0005
  G: 2,646,240 params
  D: 1,799,425 params
  SF: EMA gradient scaling (τ=0.3), warmup=30
----------------------------------------------------------------------
Epoch  91/300 | D=-0.2580 G=17.5681 SF=0.0007(s=10.00) | frob=1.9142 (best=1.7161) | 33.7s
Epoch  92/300 | D=-0.2751 G=16.8810 SF=0.0006(s=10.00) | frob=1.9449 (best=1.7161) | 33.6s
Epoch  93/300 | D=-0.2779 G=15.9485 SF=0.0007(s=10.00) | frob=2.2449 (best=1.7161) | 33.3s
Epoch  94/300 | D=-0.3098 G=14.7200 SF=0.0006(s=10.00) | frob=1.8127 (best=1.7161) | 33.4s
Epoch  95/300 | D=-0.3215 G=13.6238 SF=0.0006(s=10.00) | frob=1.7677 (best=1.7161) | 33.1s
Epoch  96/300 | D=-0.3427 G=12.6434 SF=0.0006(s=10.00) | frob=1.9712 (best=1.7161) | 33.3s
Epoch  97/300 | D=-0.3581 G=11.8302 SF=0.0006(s=10.00) | frob=1.6714 (best=1.7161) | 33.5s
Epoch  98/300 | D=-0.3677 G=10.8041 SF=0.0006(s=10.00) | frob=1.7913 (best=1.6714) | 33.6s
Epoch  99/300 | D=-0.3834 G=10.1927 SF=0.0006(s=10.00) | frob=1.8778 (best=1.6714) | 33.2s
Epoch 100/300 | D=-0.3941 G=9.5190 SF=0.0006(s=10.00) | frob=1.7288 (best=1.6714) | 33.2s
Epoch 101/300 | D=-0.4100 G=9.0120 SF=0.0006(s=10.00) | frob=1.9114 (best=1.6714) | 33.3s
Epoch 102/300 | D=-0.4153 G=8.3832 SF=0.0006(s=10.00) | frob=1.8837 (best=1.6714) | 33.2s
Epoch 103/300 | D=-0.4418 G=7.8370 SF=0.0006(s=10.00) | frob=1.9060 (best=1.6714) | 33.6s
Epoch 104/300 | D=-0.4491 G=7.2431 SF=0.0006(s=10.00) | frob=1.8558 (best=1.6714) | 33.3s
Epoch 105/300 | D=-0.4584 G=6.9211 SF=0.0006(s=10.00) | frob=1.8568 (best=1.6714) | 33.5s
Epoch 106/300 | D=-0.4755 G=6.4368 SF=0.0006(s=10.00) | frob=1.8117 (best=1.6714) | 33.6s
Epoch 107/300 | D=-0.4840 G=5.9748 SF=0.0006(s=10.00) | frob=1.7343 (best=1.6714) | 33.6s
Epoch 108/300 | D=-0.4929 G=5.5471 SF=0.0006(s=10.00) | frob=1.7555 (best=1.6714) | 33.5s
Epoch 109/300 | D=-0.5068 G=5.1857 SF=0.0006(s=10.00) | frob=1.8083 (best=1.6714) | 33.4s
Epoch 110/300 | D=-0.5165 G=4.8697 SF=0.0006(s=10.00) | frob=1.8046 (best=1.6714) | 33.5s
Epoch 111/300 | D=-0.5223 G=4.6063 SF=0.0006(s=10.00) | frob=1.6540 (best=1.6714) | 33.3s
Epoch 112/300 | D=-0.5309 G=4.3222 SF=0.0006(s=10.00) | frob=1.6695 (best=1.6540) | 33.1s
Epoch 113/300 | D=-0.5401 G=4.1397 SF=0.0006(s=10.00) | frob=1.8172 (best=1.6540) | 33.6s
Epoch 114/300 | D=-0.5427 G=3.9325 SF=0.0006(s=10.00) | frob=1.7747 (best=1.6540) | 33.5s
Epoch 115/300 | D=-0.5510 G=3.6763 SF=0.0006(s=10.00) | frob=1.8770 (best=1.6540) | 33.2s
Epoch 116/300 | D=-0.5547 G=3.4435 SF=0.0006(s=10.00) | frob=1.7881 (best=1.6540) | 33.3s
Epoch 117/300 | D=-0.5670 G=3.2042 SF=0.0006(s=10.00) | frob=1.7764 (best=1.6540) | 33.4s
Epoch 118/300 | D=-0.5774 G=3.0049 SF=0.0006(s=10.00) | frob=1.7085 (best=1.6540) | 33.4s
Epoch 119/300 | D=-0.5780 G=2.7809 SF=0.0006(s=10.00) | frob=1.8892 (best=1.6540) | 33.4s
Epoch 120/300 | D=-0.5848 G=2.7012 SF=0.0006(s=10.00) | frob=1.7427 (best=1.6540) | 33.6s
Epoch 121/300 | D=-0.5846 G=2.4946 SF=0.0006(s=10.00) | frob=2.0904 (best=1.6540) | 33.3s
Epoch 122/300 | D=-0.5903 G=2.3177 SF=0.0006(s=10.00) | frob=1.8353 (best=1.6540) | 33.6s
Epoch 123/300 | D=-0.5958 G=2.1409 SF=0.0006(s=10.00) | frob=1.7603 (best=1.6540) | 37.1s
Epoch 124/300 | D=-0.5973 G=2.0411 SF=0.0006(s=10.00) | frob=1.8221 (best=1.6540) | 33.7s
Epoch 125/300 | D=-0.5977 G=1.8707 SF=0.0006(s=10.00) | frob=1.9520 (best=1.6540) | 33.5s
Epoch 126/300 | D=-0.5961 G=1.6764 SF=0.0005(s=10.00) | frob=1.7594 (best=1.6540) | 33.8s
Epoch 127/300 | D=-0.5973 G=1.5569 SF=0.0005(s=10.00) | frob=2.0007 (best=1.6540) | 33.4s
Epoch 128/300 | D=-0.5965 G=1.4044 SF=0.0005(s=10.00) | frob=1.8772 (best=1.6540) | 33.2s
Epoch 129/300 | D=-0.5987 G=1.2901 SF=0.0005(s=10.00) | frob=1.8786 (best=1.6540) | 33.4s
Epoch 130/300 | D=-0.5968 G=1.1552 SF=0.0005(s=10.00) | frob=1.8054 (best=1.6540) | 32.9s
Epoch 131/300 | D=-0.5985 G=1.0372 SF=0.0005(s=10.00) | frob=1.8353 (best=1.6540) | 33.3s
Epoch 132/300 | D=-0.5944 G=0.8785 SF=0.0005(s=10.00) | frob=1.6958 (best=1.6540) | 33.4s
Epoch 133/300 | D=-0.5972 G=0.7447 SF=0.0005(s=10.00) | frob=1.9722 (best=1.6540) | 33.4s
Epoch 134/300 | D=-0.5917 G=0.6530 SF=0.0005(s=10.00) | frob=1.8287 (best=1.6540) | 33.1s
Epoch 135/300 | D=-0.5907 G=0.5713 SF=0.0005(s=10.00) | frob=1.8506 (best=1.6540) | 33.2s
