[macro_film] stocks (20 assets) | device=cuda | seed=42
  Loaded daily macro: (3963, 19) (['vix_level', 'vix_change', 'term_spread', 'term_level', 'credit_spread']...)
  PCA: 19 features → 8 PCs (explained var: 0.803)
  Regime detection: T=3773, window=504, step=21...
  Regime detection complete.
  Final covariate dim: 15 — ['pc_1', 'pc_2', 'pc_3', 'pc_4', 'pc_5', 'pc_6', 'pc_7', 'pc_8', 'regime_0', 'regime_1', 'regime_2', 'vix_level_z', 'realized_vol_20d_z', 'term_level_z', 'credit_level_z']
  Computing rolling OLS: T=3773, N=20, K=5, window=126...
    t=500/3773
    t=1000/3773
    t=1500/3773
    t=2000/3773
    t=2500/3773
    t=3000/3773
    t=3500/3773
  Rolling OLS complete.
  n_assets=20, K=5, d_cov=15
  Train: 2890 windows | Val: 3142
Training [macro_film] | T_L=252 | lr=0.0005
  G: 2,564,000 params
  D: 1,789,185 params
----------------------------------------------------------------------
Epoch 139/300 | D=-0.2747 G=-0.3913 | frob=1.0053 (best=0.8681) | 32.1s
Epoch 140/300 | D=-0.2786 G=-0.3484 | frob=1.1472 (best=0.8681) | 32.1s
Epoch 141/300 | D=-0.2807 G=-0.3310 | frob=1.1636 (best=0.8681) | 32.1s
Epoch 142/300 | D=-0.2828 G=-0.2967 | frob=1.1471 (best=0.8681) | 32.2s
Epoch 143/300 | D=-0.2841 G=-0.2645 | frob=1.1633 (best=0.8681) | 32.2s
Epoch 144/300 | D=-0.2864 G=-0.2545 | frob=1.2099 (best=0.8681) | 32.2s
Epoch 145/300 | D=-0.2940 G=-0.2451 | frob=1.2150 (best=0.8681) | 32.1s
Epoch 146/300 | D=-0.2905 G=-0.2131 | frob=1.1548 (best=0.8681) | 32.1s
Epoch 147/300 | D=-0.2962 G=-0.1922 | frob=1.1152 (best=0.8681) | 32.1s
Epoch 148/300 | D=-0.2923 G=-0.1760 | frob=1.1588 (best=0.8681) | 32.1s
Epoch 149/300 | D=-0.2894 G=-0.1586 | frob=1.1443 (best=0.8681) | 32.3s
Epoch 150/300 | D=-0.2982 G=-0.1457 | frob=1.1654 (best=0.8681) | 32.1s
Epoch 151/300 | D=-0.2963 G=-0.1373 | frob=1.1193 (best=0.8681) | 32.2s
Epoch 152/300 | D=-0.2962 G=-0.1349 | frob=1.1179 (best=0.8681) | 32.0s
Epoch 153/300 | D=-0.3018 G=-0.1068 | frob=1.0979 (best=0.8681) | 32.2s
Epoch 154/300 | D=-0.3033 G=-0.1087 | frob=1.0471 (best=0.8681) | 32.2s
Epoch 155/300 | D=-0.2994 G=-0.0980 | frob=1.0822 (best=0.8681) | 32.2s
Epoch 156/300 | D=-0.3026 G=-0.0959 | frob=1.0348 (best=0.8681) | 32.2s
Epoch 157/300 | D=-0.3020 G=-0.0991 | frob=0.9487 (best=0.8681) | 32.1s
Epoch 158/300 | D=-0.3046 G=-0.0754 | frob=0.9541 (best=0.8681) | 32.2s
Epoch 159/300 | D=-0.3017 G=-0.0835 | frob=0.9328 (best=0.8681) | 32.3s
Epoch 160/300 | D=-0.3049 G=-0.0740 | frob=0.8888 (best=0.8681) | 32.2s
Epoch 161/300 | D=-0.3068 G=-0.0583 | frob=0.8276 (best=0.8681) | 32.2s
Epoch 162/300 | D=-0.3051 G=-0.0642 | frob=0.8296 (best=0.8276) | 32.2s
Epoch 163/300 | D=-0.3017 G=-0.0654 | frob=0.8762 (best=0.8276) | 32.1s
Epoch 164/300 | D=-0.3063 G=-0.0559 | frob=0.8246 (best=0.8276) | 32.1s
Epoch 165/300 | D=-0.3001 G=-0.0553 | frob=0.8618 (best=0.8246) | 32.2s
Epoch 166/300 | D=-0.3027 G=-0.0584 | frob=0.8145 (best=0.8246) | 32.2s
Epoch 167/300 | D=-0.2995 G=-0.0472 | frob=0.8473 (best=0.8145) | 32.2s
Epoch 168/300 | D=-0.2990 G=-0.0520 | frob=0.8739 (best=0.8145) | 32.2s
Epoch 169/300 | D=-0.3011 G=-0.0567 | frob=0.8083 (best=0.8145) | 32.2s
Epoch 170/300 | D=-0.2998 G=-0.0469 | frob=0.8331 (best=0.8083) | 32.1s
Epoch 171/300 | D=-0.2987 G=-0.0492 | frob=0.8139 (best=0.8083) | 32.1s
Epoch 172/300 | D=-0.2943 G=-0.0356 | frob=0.7693 (best=0.8083) | 32.2s
Epoch 173/300 | D=-0.2963 G=-0.0327 | frob=0.7460 (best=0.7693) | 32.1s
Epoch 174/300 | D=-0.2943 G=-0.0276 | frob=0.8621 (best=0.7460) | 32.1s
Epoch 175/300 | D=-0.2930 G=-0.0362 | frob=0.7873 (best=0.7460) | 32.2s
Epoch 176/300 | D=-0.2930 G=-0.0495 | frob=0.8044 (best=0.7460) | 32.2s
Epoch 177/300 | D=-0.2887 G=-0.0492 | frob=0.9384 (best=0.7460) | 32.2s
Epoch 178/300 | D=-0.2902 G=-0.0491 | frob=0.8211 (best=0.7460) | 32.1s
Epoch 179/300 | D=-0.2859 G=-0.0351 | frob=0.7370 (best=0.7460) | 32.1s
Epoch 180/300 | D=-0.2849 G=-0.0335 | frob=0.8867 (best=0.7370) | 32.1s
Epoch 181/300 | D=-0.2851 G=-0.0424 | frob=0.7609 (best=0.7370) | 32.1s
Epoch 182/300 | D=-0.2818 G=-0.0407 | frob=0.7725 (best=0.7370) | 32.1s
Epoch 183/300 | D=-0.2818 G=-0.0337 | frob=0.7795 (best=0.7370) | 32.2s
Epoch 184/300 | D=-0.2805 G=-0.0204 | frob=0.7472 (best=0.7370) | 32.1s
Epoch 185/300 | D=-0.2779 G=-0.0214 | frob=1.1864 (best=0.7370) | 32.2s
Epoch 186/300 | D=-0.2740 G=-0.0249 | frob=0.8245 (best=0.7370) | 32.1s
Epoch 187/300 | D=-0.2751 G=-0.0106 | frob=0.7839 (best=0.7370) | 32.1s
Epoch 188/300 | D=-0.2735 G=-0.0105 | frob=0.6992 (best=0.7370) | 32.1s
Epoch 189/300 | D=-0.2717 G=-0.0209 | frob=0.8121 (best=0.6992) | 32.1s
Epoch 190/300 | D=-0.2710 G=-0.0168 | frob=0.8517 (best=0.6992) | 32.1s
Epoch 191/300 | D=-0.2701 G=-0.0074 | frob=0.9364 (best=0.6992) | 32.3s
Epoch 192/300 | D=-0.2676 G=0.0069 | frob=0.8470 (best=0.6992) | 32.1s
Epoch 193/300 | D=-0.2668 G=0.0083 | frob=0.8336 (best=0.6992) | 32.2s
Epoch 194/300 | D=-0.2638 G=-0.0012 | frob=1.0167 (best=0.6992) | 32.0s
Epoch 195/300 | D=-0.2665 G=0.0054 | frob=0.9722 (best=0.6992) | 32.1s
Epoch 196/300 | D=-0.2631 G=0.0024 | frob=1.0130 (best=0.6992) | 32.2s
Epoch 197/300 | D=-0.2608 G=0.0073 | frob=0.8882 (best=0.6992) | 32.2s
Epoch 198/300 | D=-0.2597 G=0.0216 | frob=1.1310 (best=0.6992) | 32.2s
Epoch 199/300 | D=-0.2577 G=0.0255 | frob=0.8608 (best=0.6992) | 32.1s
Epoch 200/300 | D=-0.2576 G=0.0260 | frob=0.9324 (best=0.6992) | 32.3s
Epoch 201/300 | D=-0.2532 G=0.0259 | frob=1.0341 (best=0.6992) | 32.1s
Epoch 202/300 | D=-0.2565 G=0.0232 | frob=1.0046 (best=0.6992) | 32.2s
Epoch 203/300 | D=-0.2501 G=0.0400 | frob=1.0665 (best=0.6992) | 32.2s
Epoch 204/300 | D=-0.2502 G=0.0319 | frob=0.9090 (best=0.6992) | 32.2s
Epoch 205/300 | D=-0.2501 G=0.0342 | frob=0.7369 (best=0.6992) | 32.2s
Epoch 206/300 | D=-0.2485 G=0.0446 | frob=1.0941 (best=0.6992) | 32.2s
Epoch 207/300 | D=-0.2473 G=0.0613 | frob=1.1537 (best=0.6992) | 32.2s
Epoch 208/300 | D=-0.2416 G=0.0662 | frob=1.1360 (best=0.6992) | 32.2s
Epoch 209/300 | D=-0.2420 G=0.0716 | frob=1.0956 (best=0.6992) | 32.2s
Epoch 210/300 | D=-0.2418 G=0.0673 | frob=1.2360 (best=0.6992) | 32.2s
Epoch 211/300 | D=-0.2384 G=0.0608 | frob=1.1166 (best=0.6992) | 32.2s
Epoch 212/300 | D=-0.2401 G=0.0774 | frob=1.1694 (best=0.6992) | 32.2s
Epoch 213/300 | D=-0.2382 G=0.0764 | frob=1.0292 (best=0.6992) | 32.2s
Epoch 214/300 | D=-0.2379 G=0.0782 | frob=0.9115 (best=0.6992) | 32.2s
Epoch 215/300 | D=-0.2326 G=0.0683 | frob=1.3419 (best=0.6992) | 32.2s
Epoch 216/300 | D=-0.2338 G=0.0850 | frob=0.9619 (best=0.6992) | 32.2s
Epoch 217/300 | D=-0.2315 G=0.0919 | frob=1.0924 (best=0.6992) | 32.3s
Epoch 218/300 | D=-0.2305 G=0.0915 | frob=1.2233 (best=0.6992) | 32.1s
Epoch 219/300 | D=-0.2312 G=0.0926 | frob=1.1234 (best=0.6992) | 32.2s
Epoch 220/300 | D=-0.2338 G=0.0910 | frob=1.0424 (best=0.6992) | 32.3s
Epoch 221/300 | D=-0.2291 G=0.0966 | frob=1.0731 (best=0.6992) | 32.1s
Epoch 222/300 | D=-0.2288 G=0.0966 | frob=1.1378 (best=0.6992) | 32.1s
Epoch 223/300 | D=-0.2274 G=0.1145 | frob=1.2804 (best=0.6992) | 32.2s
Epoch 224/300 | D=-0.2275 G=0.1084 | frob=1.2258 (best=0.6992) | 32.1s
Epoch 225/300 | D=-0.2247 G=0.1127 | frob=1.2424 (best=0.6992) | 32.1s
Epoch 226/300 | D=-0.2220 G=0.1220 | frob=1.1114 (best=0.6992) | 32.1s
Epoch 227/300 | D=-0.2222 G=0.1231 | frob=1.2738 (best=0.6992) | 32.1s
Epoch 228/300 | D=-0.2209 G=0.1201 | frob=1.3957 (best=0.6992) | 32.2s
Epoch 229/300 | D=-0.2206 G=0.1250 | frob=1.3769 (best=0.6992) | 32.1s
Epoch 230/300 | D=-0.2196 G=0.1366 | frob=1.2467 (best=0.6992) | 32.1s
Epoch 231/300 | D=-0.2216 G=0.1291 | frob=1.2615 (best=0.6992) | 32.2s
Epoch 232/300 | D=-0.2180 G=0.1226 | frob=1.2416 (best=0.6992) | 32.1s
Epoch 233/300 | D=-0.2158 G=0.1276 | frob=1.4002 (best=0.6992) | 32.4s
Epoch 234/300 | D=-0.2165 G=0.1341 | frob=1.2426 (best=0.6992) | 32.1s
Epoch 235/300 | D=-0.2176 G=0.1409 | frob=1.0772 (best=0.6992) | 32.1s
Epoch 236/300 | D=-0.2132 G=0.1428 | frob=1.2682 (best=0.6992) | 32.0s
Epoch 237/300 | D=-0.2124 G=0.1491 | frob=1.2350 (best=0.6992) | 32.1s
Epoch 238/300 | D=-0.2094 G=0.1613 | frob=1.4252 (best=0.6992) | 32.1s
Early stopping at epoch 238

Fine-tuning 10 epochs...
  FT 1/10 | D=-0.2121 G=0.1645
  FT 2/10 | D=-0.2274 G=0.1714
  FT 3/10 | D=-0.2310 G=0.1679
  FT 4/10 | D=-0.2337 G=0.1596
  FT 5/10 | D=-0.2345 G=0.1552
  FT 6/10 | D=-0.2341 G=0.1503
  FT 7/10 | D=-0.2373 G=0.1437
  FT 8/10 | D=-0.2384 G=0.1352
  FT 9/10 | D=-0.2388 G=0.1252
  FT 10/10 | D=-0.2399 G=0.1043

Done. Best val_frob=0.6992
